1E12, 0.95
1000,465.0,135.0,77.500,1074.0,326.0,76.714,0.003,0.001
2000,488.0,112.0,81.333,1115.0,285.0,79.643,0.003,0.001
3000,488.0,112.0,81.333,1123.0,277.0,80.214,0.003,0.001
4000,483.0,117.0,80.500,1143.0,257.0,81.643,0.003,0.004
5000,488.0,112.0,81.333,1158.0,242.0,82.714,0.003,0.001
6000,490.0,110.0,81.667,1165.0,235.0,83.214,0.003,0.001
7000,482.0,118.0,80.333,1168.0,232.0,83.429,0.003,0.001
8000,480.0,120.0,80.000,1178.0,222.0,84.143,0.003,0.001
9000,480.0,120.0,80.000,1190.0,210.0,85.000,0.003,0.001
10000,479.0,121.0,79.833,1204.0,196.0,86.000,0.003,0.001
11000,473.0,127.0,78.833,1213.0,187.0,86.643,0.003,0.001
12000,466.0,134.0,77.667,1212.0,188.0,86.571,0.003,0.001
13000,461.0,139.0,76.833,1218.0,182.0,87.000,0.003,0.001
14000,458.0,142.0,76.333,1224.0,176.0,87.429,0.003,0.001
15000,464.0,136.0,77.333,1228.0,172.0,87.714,0.003,0.001
16000,470.0,130.0,78.333,1236.0,164.0,88.286,0.003,0.001
17000,469.0,131.0,78.167,1244.0,156.0,88.857,0.003,0.001
18000,471.0,129.0,78.500,1247.0,153.0,89.071,0.003,0.001
19000,469.0,131.0,78.167,1250.0,150.0,89.286,0.003,0.001
20000,471.0,129.0,78.500,1260.0,140.0,90.000,0.003,0.001
21000,470.0,130.0,78.333,1263.0,137.0,90.214,0.003,0.001
22000,466.0,134.0,77.667,1269.0,131.0,90.643,0.003,0.002
23000,464.0,136.0,77.333,1269.0,131.0,90.643,0.003,0.001
24000,467.0,133.0,77.833,1271.0,129.0,90.786,0.003,0.001
25000,461.0,139.0,76.833,1276.0,124.0,91.143,0.003,0.001
26000,459.0,141.0,76.500,1281.0,119.0,91.500,0.003,0.001
27000,456.0,144.0,76.000,1282.0,118.0,91.571,0.003,0.001
28000,455.0,145.0,75.833,1285.0,115.0,91.786,0.004,0.001
29000,452.0,148.0,75.333,1290.0,110.0,92.143,0.003,0.001
30000,450.0,150.0,75.000,1293.0,107.0,92.357,0.003,0.001
1E12, 0.75
1000,487.0,113.0,81.167,1098.0,302.0,78.429,0.003,0.001
2000,494.0,106.0,82.333,1130.0,270.0,80.714,0.003,0.001
3000,494.0,106.0,82.333,1126.0,274.0,80.429,0.003,0.001
4000,494.0,106.0,82.333,1129.0,271.0,80.643,0.003,0.001
5000,496.0,104.0,82.667,1136.0,264.0,81.143,0.003,0.001
6000,494.0,106.0,82.333,1158.0,242.0,82.714,0.003,0.001
7000,494.0,106.0,82.333,1169.0,231.0,83.500,0.003,0.001
8000,491.0,109.0,81.833,1184.0,216.0,84.571,0.003,0.001
9000,492.0,108.0,82.000,1189.0,211.0,84.929,0.003,0.001
10000,487.0,113.0,81.167,1208.0,192.0,86.286,0.003,0.001
11000,485.0,115.0,80.833,1222.0,178.0,87.286,0.003,0.001
12000,480.0,120.0,80.000,1228.0,172.0,87.714,0.003,0.001
13000,479.0,121.0,79.833,1235.0,165.0,88.214,0.003,0.001
14000,477.0,123.0,79.500,1238.0,162.0,88.429,0.003,0.001
15000,473.0,127.0,78.833,1248.0,152.0,89.143,0.003,0.001
16000,474.0,126.0,79.000,1244.0,156.0,88.857,0.003,0.001
17000,472.0,128.0,78.667,1257.0,143.0,89.786,0.003,0.001
18000,471.0,129.0,78.500,1266.0,134.0,90.429,0.003,0.001
19000,473.0,127.0,78.833,1271.0,129.0,90.786,0.003,0.001
20000,470.0,130.0,78.333,1275.0,125.0,91.071,0.003,0.001
21000,470.0,130.0,78.333,1281.0,119.0,91.500,0.003,0.001
22000,471.0,129.0,78.500,1284.0,116.0,91.714,0.003,0.001
23000,469.0,131.0,78.167,1291.0,109.0,92.214,0.003,0.001
24000,468.0,132.0,78.000,1298.0,102.0,92.714,0.003,0.001
25000,470.0,130.0,78.333,1307.0,93.0,93.357,0.003,0.001
26000,469.0,131.0,78.167,1305.0,95.0,93.214,0.003,0.001
27000,467.0,133.0,77.833,1314.0,86.0,93.857,0.003,0.001
28000,464.0,136.0,77.333,1314.0,86.0,93.857,0.003,0.001
29000,466.0,134.0,77.667,1321.0,79.0,94.357,0.003,0.001
30000,462.0,138.0,77.000,1320.0,80.0,94.286,0.003,0.001
