1000,489.0,111.0,81.500,1098.0,302.0,78.429,0.003,0.001
2000,494.0,106.0,82.333,1118.0,282.0,79.857,0.003,0.001
3000,499.0,101.0,83.167,1124.0,276.0,80.286,0.003,0.001
4000,494.0,106.0,82.333,1138.0,262.0,81.286,0.003,0.002
5000,490.0,110.0,81.667,1144.0,256.0,81.714,0.003,0.001
6000,492.0,108.0,82.000,1166.0,234.0,83.286,0.003,0.001
7000,489.0,111.0,81.500,1178.0,222.0,84.143,0.003,0.001
8000,483.0,117.0,80.500,1183.0,217.0,84.500,0.003,0.001
9000,480.0,120.0,80.000,1195.0,205.0,85.357,0.003,0.001
10000,485.0,115.0,80.833,1208.0,192.0,86.286,0.003,0.001
11000,487.0,113.0,81.167,1216.0,184.0,86.857,0.003,0.001
12000,484.0,116.0,80.667,1227.0,173.0,87.643,0.003,0.001
13000,484.0,116.0,80.667,1234.0,166.0,88.143,0.003,0.001
14000,486.0,114.0,81.000,1239.0,161.0,88.500,0.003,0.001
15000,482.0,118.0,80.333,1248.0,152.0,89.143,0.003,0.001
16000,482.0,118.0,80.333,1254.0,146.0,89.571,0.003,0.001
17000,481.0,119.0,80.167,1260.0,140.0,90.000,0.003,0.001
18000,484.0,116.0,80.667,1259.0,141.0,89.929,0.003,0.001
19000,483.0,117.0,80.500,1264.0,136.0,90.286,0.004,0.001
20000,482.0,118.0,80.333,1283.0,117.0,91.643,0.003,0.001
21000,480.0,120.0,80.000,1284.0,116.0,91.714,0.003,0.001
22000,482.0,118.0,80.333,1290.0,110.0,92.143,0.003,0.001
23000,482.0,118.0,80.333,1288.0,112.0,92.000,0.003,0.001
24000,480.0,120.0,80.000,1294.0,106.0,92.429,0.003,0.001
25000,480.0,120.0,80.000,1296.0,104.0,92.571,0.003,0.001
26000,479.0,121.0,79.833,1305.0,95.0,93.214,0.003,0.001
27000,479.0,121.0,79.833,1308.0,92.0,93.429,0.003,0.001
28000,476.0,124.0,79.333,1311.0,89.0,93.643,0.003,0.001
29000,473.0,127.0,78.833,1314.0,86.0,93.857,0.004,0.002
30000,477.0,123.0,79.500,1317.0,83.0,94.071,0.003,0.001
